publisher,open,limited,closed,overall_deposited
"Elsevier BV","0","0","11018777","16773716"
"Springer Nature","5851011","10232","0","12976225"
"Wiley","5697829","0","0","8874184"
"Institute of Electrical and Electronics Engineers (IEEE)","0","15189","3331903","4214422"
"American Physical Society (APS)","621938","0","0","644288"
"American Chemical Society (ACS)","0","0","496617","1563601"
"Informa UK Limited","3020385","15631","0","4965446"
"Ovid Technologies (Wolters Kluwer Health)","0","820191","0","2041106"
"Oxford University Press (OUP)","583247","0","0","3707847"
"AIP Publishing","562654","0","0","770812"
"SAGE Publications","1194498","4826","0","2538472"
"JSTOR","11097","0","0","2088803"
"University of Chicago Press","0","0","41478","461070"
"IOP Publishing","0","632180","0","829525"
"American Association for the Advancement of Science (AAAS)","26983","0","0","286420"
"Proceedings of the National Academy of Sciences","77593","0","0","140176"
"Royal Society of Chemistry (RSC)","331211","0","0","630524"
"Cambridge University Press (CUP)","555063","8249","0","2087518"
"American Psychological Association (APA)","0","19535","0","716697"
