publisher,doi_prefix,member,open,limited,closed
"Elsevier BV","10.1016,10.1580,10.1006,10.7424,10.3816,10.1054,10.2353,10.1078,10.1053,10.2139,10.1067,10.14219,10.3921,10.4065,10.1197,10.1533,10.1331,10.1157,10.1383,10.2111,10.1529,10.3182,10.1240,10.3129,10.1205,10.7811,10.1602,10.1367","78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,1682,78,78,78,78","0","0","11018777"
"Springer Nature","10.1007,10.1023,10.1038,10.2165,10.1057,10.1186,10.1140,10.3758,10.1361,10.1251,10.1379,10.1381,10.1385,10.1617,10.5052,10.7603,10.1208,10.1245,10.1114,10.4056,10.3858,10.1065,10.1013,10.17269,10.4333,10.5822","297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,225,297,297,297,297,297,297,6914,297,297","5851011","10232","0"
"Wiley","10.1002,10.1581,10.1046,10.1111,10.3401,10.4319,10.1359,10.2164,10.1113,10.1118,10.1897,10.1112,10.1592,10.1034,10.2966,10.1516,10.2903,10.1196,10.1348,10.1526,10.1890,10.4004,10.5054,10.2746,10.4218,10.14814,10.1301,10.3170,10.1506,10.3162,10.1892,10.1256,10.7863","311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311","5697829","0","0"
"Institute of Electrical and Electronics Engineers (IEEE)","10.1109,10.15325,10.23919","263,263,263","0","15189","3331903"
"American Physical Society (APS)","10.1103","16","621938","0","0"
"American Chemical Society (ACS)","10.1021,10.26434,10.29200","316,316,316","0","0","496617"
"Informa UK Limited","10.1080,10.3810,10.1201,10.4324,10.3152,10.3109,10.1081,10.1207,10.2989,10.3939,10.1198,10.1623,10.3155,10.3763,10.1174,10.1586,10.7158,10.3200,10.5408,10.2513,10.4161,10.5370,10.5661,10.4113,10.5175,10.2167,10.3137,10.3826,10.1888,10.1582,10.1887,10.2976","301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301","3020385","15631","0"
"Ovid Technologies (Wolters Kluwer Health)","10.1097,10.1161,10.1212,10.11124,10.1249,10.1519,10.7123,10.2106,10.1203,10.1227,10.1213,10.5435,10.2459,10.1288,10.14309","276,276,276,276,276,276,276,276,276,276,276,276,276,276,276","0","820191","0"
"Oxford University Press (OUP)","10.1093,10.3382","286,286","583247","0","0"
"AIP Publishing","10.1063","317","562654","0","0"
"SAGE Publications","10.1177,10.3821,10.4135,10.1354,10.5126,10.3317,10.1243,10.1191,10.2182,10.1622,10.1606,10.7182,10.2511,10.15256,10.5301,10.1258,10.5367,10.1630,10.1345,10.4219,10.4137,10.5193,10.1106,10.5153,10.2968,10.1369,10.14240,10.5034,10.2189","179,179,179,179,179,179,179,179,179,179,4980,179,179,5964,179,179,179,179,179,179,179,179,179,3106,179,179,5370,179,179","1194498","4826","0"
"JSTOR","10.2307","1121","11097","0","0"
"University of Chicago Press","10.1086,10.5950,10.7208","200,200,200","0","0","41478"
"IOP Publishing","10.1088,10.1070,10.1209","266,266,266","0","632180","0"
"American Association for the Advancement of Science (AAAS)","10.1126","221","26983","0","0"
"Proceedings of the National Academy of Sciences","10.1073","341","77593","0","0"
"Royal Society of Chemistry (RSC)","10.1039","292","331211","0","0"
"Cambridge University Press (CUP)","10.1017,10.3815,10.7135,10.5948,10.5949,10.1557,10.3189,10.1375,10.4039,10.7313","56,56,56,56,56,56,56,56,56,56","555063","8249","0"
"American Psychological Association (APA)","10.1037","15","0","19535","0"
