publisher,doi_prefix,coci_open_cit,crossref_close_cit,total_cit
"S. Karger AG (ID 127)","10.1159","1374874","1291082","2665956"
"Wiley (ID 311)","10.1002,10.1581,10.1046,10.1111,10.3401,10.4319,10.1359,10.2164,10.1113,10.1118,10.1897,10.1112,10.1592,10.1034,10.2966,10.1516,10.2903,10.1196,10.1348,10.1526,10.1890,10.4004,10.5054,10.2746,10.4218,10.14814,10.1301,10.3170,10.1506,10.3162,10.1892,10.1256,10.7863","48228581","36970208","85198789"
"Brill (ID 50)","10.1163,10.2959","302157","166744","468901"
"Springer Nature (ID 297)","10.1007,10.1023,10.1038,10.2165,10.1057,10.1186,10.1140,10.3758,10.1361,10.1251,10.1379,10.1381,10.1385,10.1617,10.5052,10.7603,10.1208,10.1245,10.1114,10.4056,10.3858,10.1065,10.1013,10.17269,10.4333,10.5822","52655655","33596285","86251940"
"Schweizerbart","10.1127","57646","38416","96062"
"Informa UK Limited (ID 301)","10.1080,10.3810,10.1201,10.4324,10.3152,10.3109,10.1081,10.1207,10.2989,10.3939,10.1198,10.1623,10.3155,10.3763,10.1174,10.1586,10.7158,10.3200,10.5408,10.2513,10.4161,10.5370,10.5661,10.4113,10.5175,10.2167,10.3137,10.3826,10.1888,10.1582,10.1887,10.2976","15066947","6965166","22032113"
"Institute of Electrical and Electronics Engineers (IEEE) (ID 263)","10.1109,10.15325,10.23919","21084872","3373087","24457959"
"Elsevier BV (ID 78)","10.1016,10.1580,10.1006,10.7424,10.3816,10.1054,10.2353,10.1078,10.1053,10.2139,10.1067,10.14219,10.3921,10.4065,10.1197,10.1533,10.1331,10.1157,10.1383,10.2111,10.1529,10.3182,10.1240,10.3129,10.1205,10.7811,10.1602,10.1367","97079715","105486201","202565916"
"SAGE Publications (ID 179)","10.1177,10.3821,10.4135,10.1354,10.5126,10.3317,10.1243,10.1191,10.2182,10.1622,10.1606,10.7182,10.2511,10.15256,10.5301,10.1258,10.5367,10.1630,10.1345,10.4219,10.4137,10.5193,10.1106,10.5153,10.2968,10.1369,10.14240,10.5034,10.2189","7978522","2905035","10883557"
"Office of Scientific and Technical Information  (OSTI)","10.2172","41084","18082","59166"
