doi_pref,name,coci_open,crossref_close,crossref_visibility,tot_dois,deposits_flag
"10.1159","[[S. Karger AG (ID 127)]]",1374874,1291082,[[open]],[["358320,17167"]],[["true,true"]]
"10.1002","[[Wiley (ID 311)]]",22048419,19422559,[[open]],[["8172784,567515"]],[["true,true"]]
"10.1163","[[Brill (ID 50)]]",302149,166743,[[open]],[["184464,13335"]],[["true,true"]]
"10.1007","[[Springer Nature (ID 297)]]",29039191,18509917,[[open]],[["11021468,1230426"]],[["true,true"]]
"10.1127","nn",57646,38416,nn,nn,nn
"10.1080","[[Informa UK Limited (ID 301)]]",11737962,5159926,[[open]],[["4299998,512670"]],[["true,true"]]
"10.1109","[[Institute of Electrical and Electronics Engineers (IEEE) (ID 263)]]",21080493,3372553,[[closed]],[["2966961,465591"]],[["true,true"]]
"10.1016","[[Elsevier BV (ID 78)]]",92298959,100971746,[[closed]],[["15073575,1663799"]],[["true,true"]]
"10.1177","[[SAGE Publications (ID 179)]]",7178953,2596233,[[open]],[["2167219,146411"]],[["true,true"]]
"10.2172","nn",41084,18082,nn,nn,nn
"10.1093","[[Oxford University Press (OUP) (ID 286)]]",11435394,6743048,[[open]],[["3355318,272112"]],[["true,true"]]
"10.22260","nn",368,70,nn,nn,nn
"10.22261","[[Veruscript (ID 9521)]]",13,5,[[open]],[["13,95"]],[["true,true"]]
"10.22263","nn",4,0,nn,nn,nn
"10.22264","nn",0,0,nn,nn,nn
"10.22265","nn",1,0,nn,nn,nn
"10.22266","nn",124,30,nn,nn,nn
"10.22267","nn",14,0,nn,nn,nn
"10.22268","nn",0,0,nn,nn,nn
"10.22269","[[Places Journal (ID 9533)]]",108,-5,[[open]],[["499,74"]],[["true,true"]]
"10.22270","nn",94,35,nn,nn,nn
"10.22271","nn",26,12,nn,nn,nn
"10.22273","nn",0,0,nn,nn,nn
"10.22274","nn",0,0,nn,nn,nn
"10.22275","nn",0,0,nn,nn,nn
"10.22276","nn",1,0,nn,nn,nn
"10.22278","nn",26,0,nn,nn,nn
"10.22279","nn",12,3,nn,nn,nn
"10.22280","nn",1,-1,nn,nn,nn
"10.22281","nn",1,0,nn,nn,nn
"10.22282","nn",1,-1,nn,nn,nn
"10.22283","nn",4,0,nn,nn,nn
"10.22284","nn",58,9,nn,nn,nn
"10.22286","nn",0,0,nn,nn,nn
"10.22287","nn",2,0,nn,nn,nn
"10.22288","nn",0,0,nn,nn,nn
"10.22289","nn",1,-1,nn,nn,nn
"10.22292","nn",1,0,nn,nn,nn
"10.22293","nn",0,0,nn,nn,nn
"10.22294","nn",0,0,nn,nn,nn
"10.22295","nn",2,0,nn,nn,nn
"10.22296","nn",200,-11,nn,nn,nn
"10.22298","nn",0,0,nn,nn,nn
"10.22302","nn",4,0,nn,nn,nn
"10.22303","nn",1,0,nn,nn,nn
"10.22304","nn",0,0,nn,nn,nn
"10.22305","nn",0,0,nn,nn,nn
"10.22306","nn",0,0,nn,nn,nn
"10.22307","nn",0,0,nn,nn,nn
"10.22309","nn",0,0,nn,nn,nn
"10.22310","nn",0,0,nn,nn,nn
"10.22311","[[Medina Publishing Ltd. (ID 9576)]]",4,0,[[open]],[["58,110"]],[["false,true"]]
"10.22312","nn",1,-1,nn,nn,nn
"10.22313","nn",2,0,nn,nn,nn
"10.22314","[[FSBI All Russian Research Institute for Mechanization in Agriculture (VIM) (ID 9578)]]",0,0,[[open]],[["0,96"]],[["false,true"]]
"10.22316","nn",0,0,nn,nn,nn
"10.22317","nn",3,1,nn,nn,nn
"10.22318","nn",2,0,nn,nn,nn
"10.22319","nn",21,3,nn,nn,nn
"10.22320","nn",1,2,nn,nn,nn
"10.15797","nn",1,1,nn,nn,nn
"10.15798","nn",59,7,nn,nn,nn
"10.15799","nn",0,0,nn,nn,nn
"10.1580","[[Elsevier BV (ID 78)]]",3467,2727,[[closed]],[["15073575,1663799"]],[["true,true"]]
"10.15801","nn",34,0,nn,nn,nn
"10.15802","[[Dnipropetrovsk National University of Railway Transport (ID 6422)]]",338,1,[[open]],[["738,330"]],[["true,true"]]
"10.15803","nn",220,-13,nn,nn,nn
"10.15804","nn",4,0,nn,nn,nn
"10.15805","nn",13,2,nn,nn,nn
"10.15806","nn",62,28,nn,nn,nn
"10.15807","nn",917,1241,nn,nn,nn
"10.15808","nn",2,1,nn,nn,nn
"10.15809","nn",564,-17,nn,nn,nn
"10.1581","[[Wiley (ID 311)]]",54,5,[[open]],[["8172784,567515"]],[["true,true"]]
"10.15810","nn",187,2,nn,nn,nn
"10.15811","nn",0,0,nn,nn,nn
"10.15812","nn",77,7,nn,nn,nn
"10.15813","nn",23,3,nn,nn,nn
"10.15814","nn",102,9,nn,nn,nn
"10.15815","nn",30,3,nn,nn,nn
"10.15816","nn",2,0,nn,nn,nn
"10.15818","nn",20,-2,nn,nn,nn
"10.15819","nn",0,0,nn,nn,nn
"10.1006","[[Elsevier BV (ID 78)]]",2866453,2891572,[[closed]],[["15073575,1663799"]],[["true,true"]]
"10.1371","[[Public Library of Science (PLoS) (ID 340)]]",2762825,1040145,[[open]],[["203307,47589"]],[["true,true"]]
"10.2527","nn",257119,141540,nn,nn,nn
"10.25270","nn",8,1,nn,nn,nn
"10.25271","nn",5,4,nn,nn,nn
"10.25272","nn",0,0,nn,nn,nn
